query,product_id,relevance_score
hydrating cleanser,110,5
hydrating cleanser,51,5
hydrating cleanser,2,5
hydrating cleanser,4,5
hydrating cleanser,105,5
hydrating cleanser,133,5
hydrating cleanser,115,5
hydrating cleanser,147,5
hydrating cleanser,76,5
hydrating cleanser,22,5
hydrating cleanser,86,4
hydrating cleanser,57,4
hydrating cleanser,42,4
hydrating cleanser,28,4
hydrating cleanser,136,4
hydrating cleanser,109,4
hydrating cleanser,152,4
hydrating cleanser,38,4
hydrating cleanser,69,4
hydrating cleanser,95,4
hydrating cleanser,1,3
hydrating cleanser,3,3
hydrating cleanser,5,3
hydrating cleanser,6,3
hydrating cleanser,7,3
hydrating cleanser,8,3
hydrating cleanser,9,3
hydrating cleanser,10,3
hydrating cleanser,11,3
hydrating cleanser,12,3
hydrating cleanser,13,2
hydrating cleanser,14,2
hydrating cleanser,15,2
hydrating cleanser,16,2
hydrating cleanser,17,2
hydrating cleanser,18,2
hydrating cleanser,19,2
hydrating cleanser,20,2
hydrating cleanser,21,2
hydrating cleanser,23,2
hydrating cleanser,24,1
hydrating cleanser,25,1
hydrating cleanser,26,1
hydrating cleanser,27,1
hydrating cleanser,29,1
hydrating cleanser,30,1
hydrating cleanser,31,1
hydrating cleanser,32,1
hydrating cleanser,33,1
hydrating cleanser,34,1
gentle exfoliating cleaner,35,5
gentle exfoliating cleaner,76,5
gentle exfoliating cleaner,15,5
gentle exfoliating cleaner,111,5
gentle exfoliating cleaner,33,5
gentle exfoliating cleaner,78,5
gentle exfoliating cleaner,41,5
gentle exfoliating cleaner,2,5
gentle exfoliating cleaner,89,5
gentle exfoliating cleaner,152,5
gentle exfoliating cleaner,147,4
gentle exfoliating cleaner,143,4
gentle exfoliating cleaner,73,4
gentle exfoliating cleaner,85,4
gentle exfoliating cleaner,11,4
gentle exfoliating cleaner,22,4
gentle exfoliating cleaner,1,4
gentle exfoliating cleaner,3,4
gentle exfoliating cleaner,4,4
gentle exfoliating cleaner,5,4
gentle exfoliating cleaner,6,3
gentle exfoliating cleaner,7,3
gentle exfoliating cleaner,8,3
gentle exfoliating cleaner,9,3
gentle exfoliating cleaner,10,3
gentle exfoliating cleaner,12,3
gentle exfoliating cleaner,13,3
gentle exfoliating cleaner,14,3
gentle exfoliating cleaner,16,3
gentle exfoliating cleaner,17,3
gentle exfoliating cleaner,18,2
gentle exfoliating cleaner,19,2
gentle exfoliating cleaner,20,2
gentle exfoliating cleaner,21,2
gentle exfoliating cleaner,23,2
gentle exfoliating cleaner,24,2
gentle exfoliating cleaner,25,2
gentle exfoliating cleaner,26,2
gentle exfoliating cleaner,27,2
gentle exfoliating cleaner,28,2
gentle exfoliating cleaner,29,1
gentle exfoliating cleaner,30,1
gentle exfoliating cleaner,31,1
gentle exfoliating cleaner,32,1
gentle exfoliating cleaner,34,1
gentle exfoliating cleaner,36,1
gentle exfoliating cleaner,37,1
gentle exfoliating cleaner,38,1
gentle exfoliating cleaner,39,1
gentle exfoliating cleaner,40,1
vitamin c sunscreen,23,5
vitamin c sunscreen,127,5
vitamin c sunscreen,6,5
vitamin c sunscreen,61,5
vitamin c sunscreen,91,5
vitamin c sunscreen,129,5
vitamin c sunscreen,153,5
vitamin c sunscreen,81,5
vitamin c sunscreen,68,5
vitamin c sunscreen,49,5
vitamin c sunscreen,18,4
vitamin c sunscreen,148,4
vitamin c sunscreen,136,4
vitamin c sunscreen,150,4
vitamin c sunscreen,126,4
vitamin c sunscreen,8,4
vitamin c sunscreen,87,4
vitamin c sunscreen,93,4
vitamin c sunscreen,60,4
vitamin c sunscreen,103,4
vitamin c sunscreen,11,3
vitamin c sunscreen,50,3
vitamin c sunscreen,41,3
vitamin c sunscreen,123,3
vitamin c sunscreen,27,3
vitamin c sunscreen,138,3
vitamin c sunscreen,109,3
vitamin c sunscreen,124,3
vitamin c sunscreen,30,3
vitamin c sunscreen,98,3
vitamin c sunscreen,19,2
vitamin c sunscreen,1,2
vitamin c sunscreen,2,2
vitamin c sunscreen,3,2
vitamin c sunscreen,4,2
vitamin c sunscreen,5,2
vitamin c sunscreen,7,2
vitamin c sunscreen,9,2
vitamin c sunscreen,10,2
vitamin c sunscreen,12,2
vitamin c sunscreen,13,1
vitamin c sunscreen,14,1
vitamin c sunscreen,15,1
vitamin c sunscreen,16,1
vitamin c sunscreen,17,1
vitamin c sunscreen,20,1
vitamin c sunscreen,21,1
vitamin c sunscreen,22,1
vitamin c sunscreen,24,1
vitamin c sunscreen,25,1
adapalene gel that doesn't burn my skin,27,5
adapalene gel that doesn't burn my skin,13,5
adapalene gel that doesn't burn my skin,138,5
adapalene gel that doesn't burn my skin,12,5
adapalene gel that doesn't burn my skin,122,5
adapalene gel that doesn't burn my skin,120,5
adapalene gel that doesn't burn my skin,141,5
adapalene gel that doesn't burn my skin,119,5
adapalene gel that doesn't burn my skin,3,5
adapalene gel that doesn't burn my skin,51,5
adapalene gel that doesn't burn my skin,61,4
adapalene gel that doesn't burn my skin,54,4
adapalene gel that doesn't burn my skin,118,4
adapalene gel that doesn't burn my skin,109,4
adapalene gel that doesn't burn my skin,85,4
adapalene gel that doesn't burn my skin,25,4
adapalene gel that doesn't burn my skin,71,4
adapalene gel that doesn't burn my skin,19,4
adapalene gel that doesn't burn my skin,22,4
adapalene gel that doesn't burn my skin,2,4
adapalene gel that doesn't burn my skin,4,3
adapalene gel that doesn't burn my skin,134,3
adapalene gel that doesn't burn my skin,7,3
adapalene gel that doesn't burn my skin,8,3
adapalene gel that doesn't burn my skin,9,3
adapalene gel that doesn't burn my skin,10,3
adapalene gel that doesn't burn my skin,135,3
adapalene gel that doesn't burn my skin,139,3
adapalene gel that doesn't burn my skin,140,3
adapalene gel that doesn't burn my skin,14,3
adapalene gel that doesn't burn my skin,144,2
adapalene gel that doesn't burn my skin,17,2
adapalene gel that doesn't burn my skin,18,2
adapalene gel that doesn't burn my skin,146,2
adapalene gel that doesn't burn my skin,149,2
adapalene gel that doesn't burn my skin,151,2
adapalene gel that doesn't burn my skin,152,2
adapalene gel that doesn't burn my skin,29,2
adapalene gel that doesn't burn my skin,31,2
adapalene gel that doesn't burn my skin,32,2
adapalene gel that doesn't burn my skin,35,1
adapalene gel that doesn't burn my skin,38,1
adapalene gel that doesn't burn my skin,40,1
adapalene gel that doesn't burn my skin,43,1
adapalene gel that doesn't burn my skin,44,1
adapalene gel that doesn't burn my skin,48,1
adapalene gel that doesn't burn my skin,50,1
adapalene gel that doesn't burn my skin,52,1
adapalene gel that doesn't burn my skin,56,1
adapalene gel that doesn't burn my skin,57,1
sunscreen for acne-prone skin,18,5
sunscreen for acne-prone skin,22,5
sunscreen for acne-prone skin,8,5
sunscreen for acne-prone skin,16,5
sunscreen for acne-prone skin,41,5
sunscreen for acne-prone skin,107,5
sunscreen for acne-prone skin,93,5
sunscreen for acne-prone skin,60,5
sunscreen for acne-prone skin,142,5
sunscreen for acne-prone skin,87,5
sunscreen for acne-prone skin,45,4
sunscreen for acne-prone skin,11,4
sunscreen for acne-prone skin,2,4
sunscreen for acne-prone skin,4,4
sunscreen for acne-prone skin,134,4
sunscreen for acne-prone skin,7,4
sunscreen for acne-prone skin,135,4
sunscreen for acne-prone skin,9,4
sunscreen for acne-prone skin,10,4
sunscreen for acne-prone skin,139,4
sunscreen for acne-prone skin,12,3
sunscreen for acne-prone skin,13,3
sunscreen for acne-prone skin,14,3
sunscreen for acne-prone skin,140,3
sunscreen for acne-prone skin,144,3
sunscreen for acne-prone skin,17,3
sunscreen for acne-prone skin,146,3
sunscreen for acne-prone skin,149,3
sunscreen for acne-prone skin,151,3
sunscreen for acne-prone skin,152,3
sunscreen for acne-prone skin,29,2
sunscreen for acne-prone skin,31,2
sunscreen for acne-prone skin,32,2
sunscreen for acne-prone skin,35,2
sunscreen for acne-prone skin,38,2
sunscreen for acne-prone skin,40,2
sunscreen for acne-prone skin,43,2
sunscreen for acne-prone skin,44,2
sunscreen for acne-prone skin,48,2
sunscreen for acne-prone skin,50,2
sunscreen for acne-prone skin,52,1
sunscreen for acne-prone skin,56,1
sunscreen for acne-prone skin,57,1
sunscreen for acne-prone skin,64,1
sunscreen for acne-prone skin,67,1
sunscreen for acne-prone skin,72,1
sunscreen for acne-prone skin,81,1
sunscreen for acne-prone skin,83,1
sunscreen for acne-prone skin,86,1
sunscreen for acne-prone skin,90,1
cleaner that doesn't strip away my natural oils,35,5
cleaner that doesn't strip away my natural oils,85,5
cleaner that doesn't strip away my natural oils,27,5
cleaner that doesn't strip away my natural oils,138,5
cleaner that doesn't strip away my natural oils,124,5
cleaner that doesn't strip away my natural oils,73,5
cleaner that doesn't strip away my natural oils,119,5
cleaner that doesn't strip away my natural oils,110,5
cleaner that doesn't strip away my natural oils,87,5
cleaner that doesn't strip away my natural oils,150,5
cleaner that doesn't strip away my natural oils,108,4
cleaner that doesn't strip away my natural oils,17,4
cleaner that doesn't strip away my natural oils,152,4
cleaner that doesn't strip away my natural oils,118,4
cleaner that doesn't strip away my natural oils,30,4
cleaner that doesn't strip away my natural oils,38,4
cleaner that doesn't strip away my natural oils,132,4
cleaner that doesn't strip away my natural oils,42,4
cleaner that doesn't strip away my natural oils,104,4
cleaner that doesn't strip away my natural oils,99,4
cleaner that doesn't strip away my natural oils,19,3
cleaner that doesn't strip away my natural oils,1,3
cleaner that doesn't strip away my natural oils,2,3
cleaner that doesn't strip away my natural oils,3,3
cleaner that doesn't strip away my natural oils,4,3
cleaner that doesn't strip away my natural oils,5,3
cleaner that doesn't strip away my natural oils,6,3
cleaner that doesn't strip away my natural oils,7,3
cleaner that doesn't strip away my natural oils,8,3
cleaner that doesn't strip away my natural oils,9,3
cleaner that doesn't strip away my natural oils,10,2
cleaner that doesn't strip away my natural oils,11,2
cleaner that doesn't strip away my natural oils,12,2
cleaner that doesn't strip away my natural oils,13,2
cleaner that doesn't strip away my natural oils,14,2
cleaner that doesn't strip away my natural oils,15,2
cleaner that doesn't strip away my natural oils,16,2
cleaner that doesn't strip away my natural oils,18,2
cleaner that doesn't strip away my natural oils,20,2
cleaner that doesn't strip away my natural oils,21,2
cleaner that doesn't strip away my natural oils,22,1
cleaner that doesn't strip away my natural oils,23,1
cleaner that doesn't strip away my natural oils,24,1
cleaner that doesn't strip away my natural oils,25,1
cleaner that doesn't strip away my natural oils,26,1
cleaner that doesn't strip away my natural oils,28,1
cleaner that doesn't strip away my natural oils,29,1
cleaner that doesn't strip away my natural oils,31,1
cleaner that doesn't strip away my natural oils,32,1
cleaner that doesn't strip away my natural oils,33,1
toner that maintains my skin barrier,95,5
toner that maintains my skin barrier,58,5
toner that maintains my skin barrier,107,5
toner that maintains my skin barrier,119,5
toner that maintains my skin barrier,46,5
toner that maintains my skin barrier,70,5
toner that maintains my skin barrier,75,5
toner that maintains my skin barrier,143,5
toner that maintains my skin barrier,103,5
toner that maintains my skin barrier,42,5
toner that maintains my skin barrier,22,4
toner that maintains my skin barrier,2,4
toner that maintains my skin barrier,4,4
toner that maintains my skin barrier,134,4
toner that maintains my skin barrier,7,4
toner that maintains my skin barrier,8,4
toner that maintains my skin barrier,9,4
toner that maintains my skin barrier,10,4
toner that maintains my skin barrier,135,4
toner that maintains my skin barrier,12,4
toner that maintains my skin barrier,13,3
toner that maintains my skin barrier,14,3
toner that maintains my skin barrier,139,3
toner that maintains my skin barrier,140,3
toner that maintains my skin barrier,17,3
